drone type, distance, payload, BC, customer amount
vtol,17.09,0.90,73.32,1
vtol,28.28,1.00,119.42,1
vtol,24.08,0.90,102.02,1
vtol,22.94,0.70,100.05,3
vtol,20.10,0.90,85.67,1
vtol,26.96,0.50,114.74,2
vtol,20.88,0.40,88.25,1
vtol,15.25,0.40,66.83,2
vtol,27.86,0.40,117.88,2
vtol,29.25,0.80,123.97,2
vtol,25.16,1.00,109.61,3
vtol,14.14,1.00,61.31,1
L multi,15.56,2.80,74.89,5
vtol,18.97,0.90,82.52,2
vtol,15.62,0.90,67.29,1
vtol,30.81,1.00,131.35,2
L multi,19.31,3.30,90.15,4
vtol,24.08,0.70,101.73,1
vtol,22.98,0.90,99.04,2
L multi,21.38,1.60,94.92,3
L multi,17.31,1.30,76.24,2
L multi,22.31,2.00,99.37,3
L multi,21.65,1.30,95.69,3
vtol,23.32,0.60,98.49,1
vtol,21.63,0.80,91.84,1
vtol,32.65,0.90,138.68,2
vtol,31.48,1.00,133.93,2
L multi,21.32,3.50,98.85,4
L multi,10.40,1.20,47.45,2
L multi,16.51,1.70,73.02,2
L multi,20.14,2.10,91.38,4
L multi,16.49,1.40,72.86,2
vtol,18.87,0.80,80.51,1
vtol,14.00,0.50,60.30,1
vtol,24.27,0.80,104.10,2
L multi,19.35,2.20,88.83,4
vtol,27.99,0.40,118.73,2
vtol,27.99,0.90,119.40,2
vtol,27.19,0.60,117.41,3
vtol,26.53,1.00,115.33,3
vtol,21.63,1.00,92.10,1
vtol,27.76,0.80,119.87,3
L multi,22.36,1.60,97.33,2
vtol,17.89,0.90,76.60,1
L multi,18.24,1.20,81.28,3
vtol,21.26,1.00,90.56,1
L multi,17.59,1.40,77.41,2
vtol,18.44,1.00,78.97,1
vtol,25.97,0.60,110.78,2
vtol,19.48,0.80,86.05,3
vtol,27.58,0.60,117.43,2
vtol,24.46,1.00,106.81,3
L multi,17.95,1.60,83.87,5
L multi,20.71,1.50,94.97,5
L multi,17.95,1.60,83.87,5
L multi,20.71,1.50,94.97,5
vtol,20.76,0.90,145.45,3
vtol,2.83,0.20,20.63,1
vtol,11.15,1.00,80.61,3
vtol,11.84,1.00,85.34,3
vtol,5.66,0.20,26.15,1
L multi,19.19,1.70,95.70,9
